lig,nap,raf,hyd,lhy,c345,other,E
0,96011.6,0,0,18284.9,12111.5,0,40600
24332,93698.8,6225,50116,5729.02,13068,0,61102
29941,99455,6563,51202,6341.5,13858,0,65546
23039,90566.1,6773,48611,4451.04,13178,0,59069
29953,95075.4,6553,53601,4013.24,13494,0,64115
26185,91891,6333,44782,6113.54,12413,0,58721
27635,103369,6650,46245,4915.74,13061,0,63605
20828,101053,6402,51546,1986.7,13258,0,62416
11142,101910,6468,46879,1288.5,12574,0,58069
7844,91590.8,6426,51228,5775.64,13305,0,54946
22416,103181,6669,44102,8016.34,13545,0,61780
16646,108808,6735,50646,4232.02,14324,0,64136
733.42,14591.4,0,0,6030.34,1545.23,20576.8,15700
5721.07,8650.8,0,0,3249.45,2988.78,24250.1,16300
11968.2,0,0,0,2707.12,4034.27,25094.7,16000
11604.4,0,0,0,2742.34,3657.64,23558.9,15200
11924.3,980.297,0,0,3225.55,2244.76,23677,15860
3702.39,0,0,0,805.301,1040.71,9948.96,5608.2
2621.2,24389.4,0,0,511.502,1552.39,23876.5,18561.8
10950.1,38071.2,0,0,2498.31,1946.91,945.81,18850
8614.08,15134.8,0,0,1921.62,3057.06,28078.5,19986
52906,0,100442,35107,6761,4245,22175,72794
50795,0,83310,39135,2295.48,3267.46,15550,64208
47963,0,121231,37306,1136.74,4278.26,10499.4,72019
28659,2030,110339,51851,8244.08,4493,14228.1,71866
22168,22944,95519,55095,7973,3596,20896,74558
53494,0,87337,31875,7052,4344,19677,66213
44947,18097,88980,45484,7778,5233,18269,74479
0,27686.5,562.74,7610.77,15693.4,1426,0,19329.3
0,23991.4,293.82,16430.1,15235.7,1742,0,20819.3
0,31746.6,579.1,10547,11477,1945,0,19661.7
0,38902.4,194.32,3461.05,15309.8,2208,0,21168.2
0,31261.8,2304.74,10882.7,11703.5,1995,0,20601.2
0,33116.7,2204.26,8949.02,8683.55,2305,0,19460.4
0,29956.5,1578.64,15905.9,7120.41,2247,0,20236.6
0,29354.9,1715.66,12251.9,10013,1681,0,19822.6
0,34355.7,2337.68,10791.3,8486.68,1512,0,20583.3
20344.4,116232,19947,64696,7083,26491,22966.1,91513.9
49901.8,64212,14388,52717,2617,20534,18175.4,70504.5
55953.9,94787,17226,80959,5335,44103.6,9265.39,101134
62362.9,103544,22291,79472,8274,23832,21618.1,104180
64261.6,82862,18725,58066,3586,24327.3,41396.1,97192.8
51761.6,55153,9795,62874,4387,40971,16441.6,80078.6
26195.7,85911,11829,64964,3404,53914,16147.6,91178.1
26934.1,82657,20429,73465,4091,55794,18466.8,95718.1
33565.8,87579,18095,79295,4478,48025,19324.6,96715.4
27420.6,73912,9496,65868,3774,35827,16266.6,76986.9
